src_asn,src_org,src_geo,src_port,last_seen,first_seen,l4_proto,src_ip,dst_ip,dst_asn,dst_org,dst_geo,dst_port,d2s_bytes,s2d_bytes
-1,N/A,N/A,55817,1709720681448,2024-03-06 10:24:41.335+00,UDP,192.168.100.100,142.250.193.35,15169,GOOGLE,N/A,443,3862,1680
-1,N/A,N/A,54442,1709720682706,2024-03-06 10:24:42.699+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,118,78
-1,N/A,N/A,57866,1709720699579,2024-03-06 10:24:59.226+00,UDP,192.168.100.100,142.250.193.35,15169,GOOGLE,N/A,443,5329,2552
-1,N/A,N/A,59053,1709720691498,2024-03-06 10:24:51.489+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,118,83
-1,N/A,N/A,62179,1709720680079,2024-03-06 10:24:10.32+00,TCP,192.168.100.100,20.187.186.89,8075,MICROSOFT-CORP-MSN-AS-BLOCK,Hong Kong,443,239,180
-1,N/A,N/A,53423,1709720681048,2024-03-06 10:24:41.04+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,145,74
-1,N/A,N/A,60079,1709720685578,2024-03-06 10:24:45.57+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,107,91
-1,N/A,N/A,55407,1709720668962,2024-03-06 10:24:28.927+00,TCP,192.168.100.100,142.250.194.206,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,59765,1709720691963,2024-03-06 10:24:16.259+00,UDP,192.168.100.100,142.250.207.194,15169,GOOGLE,N/A,443,55683,17427
-1,N/A,N/A,63797,1709720683665,2024-03-06 10:24:43.175+00,UDP,192.168.100.100,142.250.194.3,15169,GOOGLE,N/A,443,6904,4002
-1,N/A,N/A,56458,1709720699700,2024-03-06 10:24:57.254+00,TCP,192.168.100.100,43.203.80.186,16509,AMAZON-02,Incheon,443,8603,1742
-1,N/A,N/A,54783,1709720701494,2024-03-06 10:15:06.583+00,TCP,192.168.100.100,208.115.231.70,46475,LIMESTONENETWORKS,Frankfurt am Main,443,7314,6960
-1,N/A,N/A,62051,1709720690909,2024-03-06 10:24:48.84+00,TCP,192.168.100.100,142.250.192.227,15169,GOOGLE,N/A,443,5959,1065
-1,N/A,N/A,60397,1709720699881,2024-03-06 10:24:59.51+00,UDP,192.168.100.100,142.250.193.78,15169,GOOGLE,N/A,443,5231,4233
-1,N/A,N/A,55544,1709720700336,2024-03-06 10:23:45.862+00,TCP,192.168.100.100,44.232.2.79,16509,AMAZON-02,Boardman,443,17435,24388
-1,N/A,N/A,50950,1709720688612,2024-03-06 10:24:48.612+00,TCP,fe80::10ef:dcff:fedc:70f5,2404:a800:6:204:face:b00c::a7,9498,BHARTI Airtel Ltd.,N/A,443,0,94
-1,N/A,N/A,54078,1709720668466,2024-03-06 10:24:27.416+00,UDP,192.168.100.100,172.217.166.2,15169,GOOGLE,N/A,443,6721,8196
-1,N/A,N/A,50878,1709720681415,2024-03-06 10:24:41.406+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,248,99
-1,N/A,N/A,53793,1709720673431,2024-03-06 10:24:33.245+00,UDP,192.168.100.100,142.250.193.35,15169,GOOGLE,N/A,443,4616,2613
-1,N/A,N/A,55503,1709720670059,2024-03-06 10:24:30.053+00,TCP,192.168.100.100,142.250.194.130,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,54920,1709720678907,2024-03-06 10:24:38.802+00,UDP,192.168.100.100,142.250.194.193,15169,GOOGLE,N/A,443,5174,3127
-1,N/A,N/A,54130,1709720680890,2024-03-06 10:24:40.418+00,TCP,192.168.100.100,34.98.127.226,396982,GOOGLE-CLOUD-PLATFORM,Kansas City,443,1489,2245
-1,N/A,N/A,57064,1709720681791,2024-03-06 10:24:26.575+00,UDP,192.168.100.100,142.250.194.98,15169,GOOGLE,N/A,443,10460,9844
-1,N/A,N/A,52682,1709720677428,2024-03-06 10:24:27.861+00,TCP,192.168.100.100,13.48.183.139,16509,AMAZON-02,Stockholm,443,6801,2431
-1,N/A,N/A,55373,1709720677892,2024-03-06 10:24:37.884+00,TCP,192.168.100.100,13.35.191.9,16509,AMAZON-02,N/A,443,66,60
-1,N/A,N/A,55504,1709720669595,2024-03-06 10:24:29.552+00,TCP,192.168.100.100,142.250.206.134,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,58569,1709720696135,2024-03-06 10:24:56.127+00,UDP,192.168.100.100,8.8.8.8,15169,GOOGLE,N/A,53,92,76
-1,N/A,N/A,55505,1709720670053,2024-03-06 10:24:30.045+00,TCP,192.168.100.100,142.250.206.134,15169,GOOGLE,N/A,443,66,60
-1,N/A,N/A,62031,1709720675749,2024-03-06 10:24:28.05+00,TCP,192.168.100.100,20.189.173.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,San Jose,443,7827,4768
-1,N/A,N/A,62069,1709720700935,2024-03-06 10:24:55.837+00,TCP,192.168.100.100,142.250.192.227,15169,GOOGLE,N/A,443,5959,1175
-1,N/A,N/A,62032,1709720675731,2024-03-06 10:24:28.282+00,TCP,192.168.100.100,20.189.173.9,8075,MICROSOFT-CORP-MSN-AS-BLOCK,San Jose,443,7151,1514
-1,N/A,N/A,49798,1709720691585,2024-03-06 10:24:51.324+00,UDP,192.168.100.100,142.250.192.202,15169,GOOGLE,N/A,443,7320,3890
-1,N/A,N/A,54344,1709720700791,2024-03-06 10:15:04.671+00,UDP,192.168.100.100,142.250.195.10,15169,GOOGLE,N/A,443,35403,35117
-1,N/A,N/A,52704,1709720677255,2024-03-06 10:24:29.479+00,TCP,192.168.100.100,108.158.245.125,16509,AMAZON-02,N/A,443,7860,1935
-1,N/A,N/A,50831,1709720679965,2024-03-06 10:24:39.87+00,UDP,192.168.100.100,142.250.192.196,15169,GOOGLE,N/A,443,3860,1681
-1,N/A,N/A,56994,1709720694632,2024-03-06 10:24:54.557+00,TCP,192.168.100.100,142.251.12.188,15169,GOOGLE,Queens,443,66,60
-1,N/A,N/A,55455,1709720694178,2024-03-06 10:24:19.478+00,TCP,192.168.100.100,103.229.10.192,16509,AMAZON-02,N/A,443,3030,1902
